corridor_id,strategy,origin_geoid,dest_geoid,stop_spacing_m,speed_kmh,headway_min,mode,length_m,num_stops
C001,desert_to_job_center,06037901003,06037900901,400,20,10,BRT-like,4323.803574219345,11
C002,desert_to_job_center,06037430400,06037430801,400,20,10,BRT-like,2728.461945719355,7
C003,desert_to_job_center,06037400206,06037401901,400,20,10,BRT-like,2971.343122643378,8
C004,desert_to_job_center,06037408627,06037980035,400,20,10,BRT-like,4486.704002814057,12
C005,desert_to_job_center,06037404501,06037404402,400,20,10,BRT-like,1044.565120692143,3
C006,desert_to_job_center,06037431200,06037431100,400,20,10,BRT-like,1417.5513519611518,4
C007,desert_to_job_center,06037403321,06037403316,400,20,10,BRT-like,2095.3732541369077,6
C008,desert_to_job_center,06037405600,06037405600,400,20,10,BRT-like,0.0,1
C009,desert_to_job_center,06037405101,06037404600,400,20,10,BRT-like,1820.088004483744,5
C010,desert_to_job_center,06037404600,06037404600,400,20,10,BRT-like,0.0,1
C011,desert_to_job_center,06037800406,06037800335,400,20,10,BRT-like,8644.36276195145,22
C012,desert_to_job_center,06037800410,06037800336,400,20,10,BRT-like,7420.552040832784,19
C013,desert_to_job_center,06037800504,06037800504,400,20,10,BRT-like,0.0,1
C014,desert_to_job_center,06037800506,06037800504,400,20,10,BRT-like,7252.5008697377425,19
C015,desert_to_job_center,06037402902,06037402904,400,20,10,BRT-like,1311.8762582812988,4
C016,desert_to_job_center,06037403000,06037403318,400,20,10,BRT-like,1181.2833943779096,3
C017,high_pop_to_job,06037432402,06037432700,400,20,10,BRT-like,1225.54612717433,4
C018,high_pop_to_job,06037432601,06037432502,400,20,10,BRT-like,2039.9188590520555,6
C019,high_pop_to_job,06037461600,06037461902,400,20,10,BRT-like,1806.6276778758702,5
C020,high_pop_to_job,06037570502,06037570502,400,20,10,BRT-like,0.0,1
C021,high_pop_to_job,06037400206,06037401901,400,20,10,BRT-like,2971.343122643378,8
C022,high_pop_to_job,06037431200,06037431100,400,20,10,BRT-like,1417.5513519611518,4
C023,high_pop_to_job,06037403321,06037403316,400,20,10,BRT-like,2095.3732541369077,6
C024,high_pop_to_job,06037405600,06037405600,400,20,10,BRT-like,0.0,1
C025,high_pop_to_job,06037402902,06037402904,400,20,10,BRT-like,1311.8762582812988,4
C026,high_pop_to_job,06037403000,06037403318,400,20,10,BRT-like,1181.2833943779096,3
C027,high_pop_to_job,06037910720,06037980004,400,20,10,BRT-like,8616.798305856537,22
C028,high_pop_to_job,06037910217,06037910215,400,20,10,BRT-like,8286.05115735546,21
C029,high_pop_to_job,06037900808,06037900805,400,20,10,BRT-like,1686.1248669327065,5
C030,high_pop_to_job,06037400605,06037400801,400,20,10,BRT-like,2296.713558476016,6
C031,high_pop_to_job,06037463103,06037463103,400,20,10,BRT-like,0.0,1
C032,high_pop_to_job,06037400801,06037400801,400,20,10,BRT-like,0.0,1
C033,job_center_to_job_center,06037207400,06037980035,400,20,10,BRT-like,33889.09096176164,85
C034,job_center_to_job_center,06037207400,06037265521,400,20,10,BRT-like,22115.352284617387,56
C035,job_center_to_job_center,06037310400,06037207400,400,20,10,BRT-like,19112.470695772765,48
C036,job_center_to_job_center,06037310400,06037980013,400,20,10,BRT-like,32280.87338193455,81
C037,job_center_to_job_center,06037310400,06037267901,400,20,10,BRT-like,18411.580286433837,47
C038,job_center_to_job_center,06037310400,06037980035,400,20,10,BRT-like,48369.68668029738,121
C039,job_center_to_job_center,06037310400,06037265521,400,20,10,BRT-like,20249.761754596937,51
C040,job_center_to_job_center,06037310400,06037143700,400,20,10,BRT-like,8518.309585568664,22
C041,job_center_to_job_center,06037310400,06037267902,400,20,10,BRT-like,19623.24205537782,50
C042,job_center_to_job_center,06037980013,06037207400,400,20,10,BRT-like,22042.934145331797,56
C043,job_center_to_job_center,06037980013,06037980035,400,20,10,BRT-like,50395.37346060268,126
C044,job_center_to_job_center,06037980013,06037265521,400,20,10,BRT-like,16828.285432236986,43
C045,job_center_to_job_center,06037267901,06037207400,400,20,10,BRT-like,18662.13173986123,47
C046,job_center_to_job_center,06037267901,06037980013,400,20,10,BRT-like,15812.846429175428,40
C047,job_center_to_job_center,06037267901,06037980035,400,20,10,BRT-like,52435.88904364838,132
C048,job_center_to_job_center,06037267901,06037265521,400,20,10,BRT-like,3453.242506092876,9
C049,job_center_to_job_center,06037980035,06037265521,400,20,10,BRT-like,55877.309545521355,140
C050,job_center_to_job_center,06037980028,06037207400,400,20,10,BRT-like,22654.046051026646,57
